ID,SiteName,Number,SiteSortNumber,HistoricalNotes,BibReferences,LocationNotes,Remarks,Description,Condition,Shafts,ResearchActivity,ResearcherComments,IsPublic,Active,harvardID,SiteTypeID,SiteType,ProblemsQuestions
11,Western Cemetery,Cemetery G 1500,Cemetery    G     1500          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 64-65.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
12,Western Cemetery,Cemetery G 1600,Cemetery    G     1600          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, p. 65.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
13,Western Cemetery,Cemetery G 1900,Cemetery    G     1900          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, p. 65.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
14,Western Cemetery,Cemetery G 2000,Cemetery    G     2000          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 66-70.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
15,Western Cemetery,Cemetery G 2100,Cemetery    G     2100          ,NULL,"Jánosi, Peter. ""Der Tote vor dem Opfertisch. Die Opferplatten von Giza. Besprechung des Buches Slab Stelae of the Giza Necropolis von Peter Der Manuelian."" Sokar 10 (1. Halbjahr 2005), p. 19.

Jánosi, Peter. ""Bemerkungen zur Entstehung, Lage und Datierung der Nekropolenfelder von Giza unter Cheops."" Sokar 4 (1. Halbjahr 2002), p. 5, unnumbered figure. 

Jánosi, Peter. ""Aspects of Mastaba Development: The Position of Shafts and the Identification of Tomb Owners."" In Filip Coppens, ed. Abusir and Saqqara in the year 2001. Proceedings of the Symposium (Prague, September 25th-27th, 2001). Archiv Orientální 70, No. 3 (August 2002). Prague: Oriental Institute, Academy of Sciences of the Czech Republic, pp. 337-350.

Jánosi, Peter. ""The Tombs of Officials. Houses of Eternity."" In Egyptian Art in the Age of the Pyramids. New York: The Metropolitan Museum of Art, 1999, pp. 28-29, 37, note 13, fig. 13. 

Lehner, Mark. ""Giza. A Contextual Approach to the Pyramids."" Archiv für Orientforschung 32 (1985), p. 153 note 60. 

Manuelian, Peter Der. Slab Stelae of the Giza Necropolis. Publications of the Pennsylvania-Yale Expedition to Egypt 7. New Haven & Philadelphia: Peabody Museum of Natural History of Yale University & University of Pennsylvania Museum of Archaeology and Anthropology, 2003, pp. 80, 91, 113, 115, 116, 119, 129, 134, 146, 164, fig. 171.

Manuelian, Peter Der. ""A Re-examination of Reisner's Nucleus Cemetery Concept at Giza. Preliminary Remarks on Cemetery G 2100."" In Miroslav Bárta, ed. The Old Kingdom Art and Archaeology. Proceedings of the Conference held in Prague, May 31-June 4, 2004. Prague: Czech Institute of Egyptology, 2006, passim, figs. 1-2.

Manuelian, Peter Der. ""Unfinished Business: The Giza Tablet of Tjenti (JE 72135)."" In Mamdouh Eldmaty and Mai Trad, eds. Egyptian Museum Collections Around the World: Studies for the Centennial of the Egyptian Museum, Cairo. Cairo: Supreme Council of Antiquities, 2002, pp. 778-780, 788, fig. 1.

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 70-83.

Priese, Karl-Heinz.  Die Opferkammer des Merib. Berlin: Ägyptisches Museum, Berlin, 1984, pp. 6-7, illustration on pp. 34-36. 
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
16,Western Cemetery,Cemetery G 2500,Cemetery    G     2500          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, p. 95.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
17,Western Cemetery,Cemetery G 3000,Cemetery    G     3000          ,NULL,"Baud, Michel. ""La tombe de la reine-mère xa-mrr-Nbtj Ire."" Bulletin de l'Institut Français d'Archéologie Orientale 95 (1995), p. 13, note 20. 

Fisher, Clarence S. The Minor Cemetery at Giza (Philadelphia; The University Museum, 1924).

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 95-99.

Reisner, unpublished manuscript, Boxes L8-L9.
,,",NULL,"Fisher excavated 57 mastabas in the Cemetery G 3000 in 1915 under the Eckley B. Coxe Jr. Expedition of the University of Pennsylvania.,,",NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
18,Western Cemetery,Cemetery G 4000,Cemetery    G     4000          ,NULL,"Baud, Michel. ""La tombe de la reine-mère xa-mrr-Nbtj Ire."" Bulletin de l'Institut Français d'Archéologie Orientale 95 (1995), p. 13. 

Jánosi, Peter. ""Der Tote vor dem Opfertisch. Die Opferplatten von Giza. Besprechung des Buches Slab Stelae of the Giza Necropolis von Peter Der Manuelian."" Sokar 10 (1. Halbjahr 2005), p. 19.

Jánosi, Peter. ""Bemerkungen zur Entstehung, Lage und Datierung der Nekropolenfelder von Giza unter Cheops."" Sokar 4 (1. Halbjahr 2002), pp. 5-7,  unnumbered figures. 

Jánosi, Peter. ""Aspects of Mastaba Development: The Position of Shafts and the Identification of Tomb Owners."" In Filip Coppens, ed. Abusir and Saqqara in the year 2001. Proceedings of the Symposium (Prague, September 25th-27th, 2001). Archiv Orientální 70, No. 3 (August 2002). Prague: Oriental Institute, Academy of Sciences of the Czech Republic, pp. 337-350.

Jánosi, Peter. ""The Tombs of Officials. Houses of Eternity."" In Egyptian Art in the Age of the Pyramids. New York: The Metropolitan Museum of Art, 1999, pp. 28-29, 37, note 13, fig. 13. 

Lehner, Mark. ""Giza. A Contextual Approach to the Pyramids."" Archiv für Orientforschung 32 (1985), p. 153 note 60. 

Manuelian, Peter Der. Slab Stelae of the Giza Necropolis. Publications of the Pennsylvania-Yale Expedition to Egypt 7. New Haven & Philadelphia: Peabody Museum of Natural History of Yale University & University of Pennsylvania Museum of Archaeology and Anthropology, 2003, pp. 101, 106, 113, 115, 116, 120- 129, 136,  146, 147, 150, 162, 164, fig. 171.

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 122-141.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
19,Western Cemetery,Cemetery G 5000,Cemetery    G     5000          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 145-168.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
20,Eastern Cemetery,Cemetery G 7000,Cemetery    G     7000          ,NULL,"Baud, Michel. ""La tombe de la reine-mère xa-mrr-Nbtj Ire."" Bulletin de l'Institut Français d'Archéologie Orientale 95 (1995), p. 13. 

Bothmer, Bernard V. Egypt 1950: My First Visit. Oxford: Oxbow Books, 2003, pp. 137, 139, 140.

Jánosi, Peter. ""Bemerkungen zur Entstehung, Lage und Datierung der Nekropolenfelder von Giza unter Cheops."" Sokar 4 (1. Halbjahr 2002), pp. 5, 7-9, note 11, unnumbered figures. 

Jánosi, Peter. ""Aspects of Mastaba Development: The Position of Shafts and the Identification of Tomb Owners."" In Filip Coppens, ed. Abusir and Saqqara in the year 2001. Proceedings of the Symposium (Prague, September 25th-27th, 2001). Archiv Orientální 70, No. 3 (August 2002). Prague: Oriental Institute, Academy of Sciences of the Czech Republic, pp. 337-350.

Jánosi, Peter. ""The Tombs of Officials. Houses of Eternity."" In Egyptian Art in the Age of the Pyramids. New York: The Metropolitan Museum of Art, 1999, pp. 28-30, 32, 37, note 13, fig. 13. 

Jánosi, Peter. ""Die Grabanlagen der Konigin Hetepheres II."" Zeitschrift für Ägyptische Sprache und Altertumskunde 123 (1996), pp. 46, 48-50, fig. 1.

Lehner, Mark. ""Giza. A Contextual Approach to the Pyramids."" Archiv für Orientforschung 32 (1985), pp. 148, 153, 158. 

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 179-208.

Reisner, George A. ""Nefertkauw, the Eldest Daughter of Sneferuw."" Zeitschrift für Ägyptische Sprache und Altertumskunde 64 (1929), p. 97, untitled fig., taf. 2 [1].
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
21,Western Cemetery,D 1,D          1                    ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, p. 109, plan 14.

G. Steindorff and U. Hoelscher, Die Mastabas westlich der Cheopspyramide, Muenchener Aegyptologische Untersuchungen 2 (Frankfurt am Main, 1991), edited by A. Grimm, p. 15, pl. 1.
,,",NULL,"Mastaba is in the field southwest of D 100, north of D 2 and northwest of D 4.,,",NULL,NULL,"D 1,1; D 1,2; D 1,3; D 1,4; D 1,5,,",NULL,NULL,1,1,NULL,1,Mud-brick mastaba,NULL
22,Western Cemetery,D 10,D         10                    ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, plan 14.

G. Steindorff and U. Hoelscher, Die Mastabas westlich der Cheopspyramide, Muenchener Aegyptologische Untersuchungen 2 (Frankfurt am Main, 1991), edited by A. Grimm, p. 20, pl. 1.

,,",NULL,"Mastaba is north of D 9 and east of D 6.  Mastaba is drawn but not labeled on Porter-Moss III plan XIV.,,","Die Bruchsteinmastaba D 10 hat eine Gesamtgröße von ca. 3,5 m × 4,6 m. Sie liegt östlich von Mastaba D 6 und schließt nördlich an Mastaba D 9 an. 1905 Ausgrabung.
An der Südseite wurde erst ein ca. 0,9 m breiter Durchgang zwischen Mastaba D 10 und D 9 gelassen, der aber dann am östlichen Ende durch eine Bruchsteinmauer geschlossen wurde. Eine weitere Mauer von 1,1 m × 0,9 m im Westen schafft einen abgeschlossenen Raum von ca. 1,7 m Länge, der vielleicht als Serdab gedient haben könnte.

,,",very good,"D 10,1; D 10,2,,",NULL,NULL,1,1,674,1,Mud-brick mastaba,NULL
23,Western Cemetery,D 100,D        100                    ,NULL,"Junker, Hermann. Gîza 1. Die Mastabas der IV. Dynastie auf dem Westfriedhof. Akademie der Wissenschaften in Wien Philosophisch-historische Klasse Denkschriften 69. Vienna & Leipzig: Hölder-Pichler-Tempsky, 1929, p. 56, fig. 5, pl. 11 [b].

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, p. 114, plans 13-14.

G. Steindorff and U. Hoelscher, Die Mastabas westlich der Cheopspyramide, Muenchener Aegyptologische Untersuchungen 2 (Frankfurt am Main, 1991), edited by A. Grimm, pp. 81-82, pl. 13.
,,",NULL,"Large mastaba is on northern edge of Steindorff's concession, west southwest of G 1101 (D 90) and southeast of G 1201.,,",NULL,NULL,"D 100,Chapel,,",NULL,NULL,1,1,NULL,2,Stone-built mastaba,NULL
24,Western Cemetery,D 101,D        101                    ,NULL,"Junker, Hermann. Gîza 9. Das Mittelfeld des Westfriedhofs. Akademie der Wissenschaften in Wien Philosophisch-historische Klasse Denkschriften 73, Abhandlung 2. Vienna: Rudolph M. Rohrer, 1950, plan 2 after pl. 20.

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, plan 14.

G. Steindorff and U. Hoelscher, Die Mastabas westlich der Cheopspyramide, Muenchener Aegyptologische Untersuchungen 2 (Frankfurt am Main, 1991), edited by A. Grimm, p. 82, pl. 13.
,,",NULL,"Mastaba is against east side of D 100 north of D 100's chapel.  Mastaba is drawn but not labeled on Porter-Moss III plan XIV.,,",NULL,NULL,"D 101,1,,",NULL,NULL,1,1,NULL,2,Stone-built mastaba,NULL
25,Western Cemetery,D 102,D        102                    ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, plan 14.

G. Steindorff and U. Hoelscher, Die Mastabas westlich der Cheopspyramide, Muenchener Aegyptologische Untersuchungen 2 (Frankfurt am Main, 1991), edited by A. Grimm, p. 83.,,",NULL,"Mastaba is on southern boundary of American concession, against east side of G 1101 (D 90), north of D 91 and west of D 82 A.  Mastaba is neither drawn nor labeled on Steindorff's Lageplan, on plan EG002029, and on Porter-Moss III plan XIV.,,",NULL,NULL,"D 102,1; D 102,2,,",NULL,NULL,1,1,NULL,3,Uncertain/destroyed,NULL
26,Western Cemetery,D 103,D        103                    ,NULL,"Junker, Hermann. Gîza 9. Das Mittelfeld des Westfriedhofs. Akademie der Wissenschaften in Wien Philosophisch-historische Klasse Denkschriften 73, Abhandlung 2. Vienna: Rudolph M. Rohrer, 1950, pp. 100-101, fig. 42, plans 1 & 2 after pl. 20.

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, plan 14.

G. Steindorff and U. Hoelscher, Die Mastabas westlich der Cheopspyramide, Muenchener Aegyptologische Untersuchungen 2 (Frankfurt am Main, 1991), edited by A. Grimm, p. 83, pl. 14.
,,",NULL,"Mastaba is in field north of G 4000, west of D 105, south of D 104, and east of D 76.  Mastaba is drawn but not labeled on Porter-Moss III plan XIV and on plan EG002029.  Steindorff mentions 3 shafts but neither draws nor labels them.  Junker labels two shafts: northern shaft is S 2544 and middle shaft is S 2543.  Junker calls the third or southern shaft Sud-Schacht D 103, which might also be S 2542.,,",NULL,NULL,"S 2543; S 2544; 1 unlabeled shaft (S 2542?),,",NULL,NULL,1,1,NULL,1,Mud-brick mastaba,NULL
27,Western Cemetery,D 104,D        104                    ,NULL,"Junker, Hermann. Gîza 9. Das Mittelfeld des Westfriedhofs. Akademie der Wissenschaften in Wien Philosophisch-historische Klasse Denkschriften 73, Abhandlung 2. Vienna: Rudolph M. Rohrer, 1950, plan 2 after pl. 20.

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, plan 14.

G. Steindorff and U. Hoelscher, Die Mastabas westlich der Cheopspyramide, Muenchener Aegyptologische Untersuchungen 2 (Frankfurt am Main, 1991), edited by A. Grimm, p. 83, pl. 14.
,,",NULL,"Mastaba is in field north of G 4000, built against east face of D 214, northeast of D 107 and south of D 213.  Mastaba is not labeled on either Porter-Moss III plan XIV or on Junker Giza 9 plan 2.  Steindorff draws four shafts and a chapel.,,",NULL,NULL,"D 104,1; D 104,2; D 104,3; D 104,4; D 104,Chapel; S 2440,,",NULL,NULL,1,1,NULL,1,Mud-brick mastaba,NULL
28,Western Cemetery,D 105,D        105                    ,NULL,"Junker, Hermann. Gîza 9. Das Mittelfeld des Westfriedhofs. Akademie der Wissenschaften in Wien Philosophisch-historische Klasse Denkschriften 73, Abhandlung 2. Vienna: Rudolph M. Rohrer, 1950, p. 101, fig. 42, plans 1 & 2 after pl. 20.

Lehmann, Katja. Der Serdab in den Privatgräbern des Alten Reiches 1-3. Ph.D. Dissertation, Universität Heidelberg, 2000, Kat. G30. 

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, plan 14.

G. Steindorff and U. Hoelscher, Die Mastabas westlich der Cheopspyramide, Muenchener Aegyptologische Untersuchungen 2 (Frankfurt am Main, 1991), edited by A. Grimm, pp. 83-84, pl. 14.
,,",NULL,"Mastaba is in field north of G 4000, north of D 106, south of D 107 and east of D 103.  Steindorf indicates 2 shafts, 1 serdab and 1 chapel in main mastaba as well as 6 shafts in an annex to the west side.  Mastaba is drawn but not labeled on Porter-Moss III plan XIV.  Junker draws at least 4 shafts and a chapel, but labels only a shaft 167 in annex against the west wall.,,","Mastaba with two shafts and a serdab.  Annex along west side with six shafts.  Steindorff's D 105,8 in annex = Junker's S 167.,,",NULL,"D 105,1; D 105,2; D 105,Serdab; D 105,Chapel; west annex: D 105,3; D 105,4; D 105,5; D 105,6; D 105,7; D 105,8,,",NULL,NULL,1,1,NULL,4,Stone+Brick-built mastaba,NULL
