ConstituentID,ConstituentTypeID,ReferenceID,Title,BoilerText,DisplayDate,MainPathName,MainFileName
24,3,156,"Ancient Egypt as Represented in the Museum of Fine Arts, Boston","Smith, William Stevenson. <I>Ancient Egypt as Represented in the Museum of Fine Arts, Boston</I>. Boston: Museum of Fine Arts, 1960.",1960,Y:\\images\MFA-images\Giza\GizaImage\full\library\,smith_ancient_egypt.pdf
24,3,169,"Journal of the Museum of Fine Arts, Boston 3 (1991), pp. 4-14, ""What Did the Bust of Ankh-haf Originally Look Like?""","Bolshakov, Andrey. ""What Did the Bust of Ankh-haf Originally Look Like?"" <I>Journal of the Museum of Fine Arts, Boston</I> 3 (1991), pp. 4-14.",1991,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,jmfa03_1991_04to14.pdf
24,3,185,"Journal of the American Research Center In Egypt 35 (1998), pp 115-127, ""A Case of Prefabrication at Giza? The False Door of Inti""","Manuelian, Peter Der. ""A Case of Prefabrication at Giza? The False Door of Inti."" <I>Journal of the American Research Center In Egypt </I>35 (1998), pp. 115-127.",1998,Y:\\images\MFA-images\Giza\GizaImage\full\library\,manuelian_jarce_35-2_1998.pdf
24,3,320,"Egyptian Museum Collections Around the World, pp. 385-396, ""The Development of Art in the Fourth Dynasty: The Eastern and GIS Cemeteries at Giza""","Flentye, Laurel. ""The Development of Art in the Fourth Dynasty: The Eastern and GIS Cemeteries at Giza."" In Mamdouh Eldmaty and Mai Trad, eds. <I>Egyptian Museum Collections Around the World: Studies for the Centennial of the Egyptian Museum, Cairo</I>. Cairo: Supreme Council of Antiquities, 2002, pp. 385-396.",2002,Y:\\images\MFA-images\Giza\GizaImage\full\library\,flentye_cairo_museum.pdf
24,3,435,"Egyptian Art. Selected Writings of Bernard V. Bothmer, pp. 371-393, ""On Realism in Egyptian Funerary Sculpture of the Old Kingdom""","Bothmer, Bernard V. ""On Realism in Egyptian Funerary Sculpture of the Old Kingdom."" In Madeleine E. Cody, ed. <I>Egyptian Art. Selected Writings of Bernard V. Bothmer.</I> Oxford: Oxford University Press, 2004, pp. 371-393. Originally published in <I>Expedition </I>24/2 (Winter 1982), pp. 27-39.<BR>",2004,Y:\\images\MFA-images\Giza\GizaImage\full\library\,bothmer_eg_art_371-93.pdf
24,3,437,"Studies in Ancient Egypt, the Aegean, and the Sudan, pp. 129-131, ""The Reserve Heads of the Old Kingdom""","Millet, N.B. ""The Reserve Heads of the Old Kingdom."" In William Kelly Simpson and Whitney M. Davis, eds. <I>Studies in Ancient Egypt, the Aegean, and the Sudan: Essays in Honor of Dows Dunham on the Occasion of his 90th Birthday, June 1, 1980. </I>Boston: Museum of Fine Arts, 1981, pp. 129-131. <BR>",1981,Y:\\images\MFA-images\Giza\GizaImage\full\library\,millet_fs_dunham.pdf
24,3,475,"The Archaeology and Art of Ancient Egypt, Vol. I, pp. 291-308, ""The Mastabas of Ankh-haf (G 7510) and Akhethetep and Meretites (G 7650) in the Eastern Cemetery at Giza: A Reassessment""","Flentye, Laurel. ""The Mastabas of Ankh-haf (G 7510) and Akhethetep and Meretites (G 7650) in the Eastern Cemetery at Giza: A Reassessment."" In Zahi Hawass and Janet Richards, eds. <I>The Archaeology and Art of Ancient Egypt. Essays in Honor of David B. O'Connor</I>, Vol. I. Annales du Service des Antiquités de l'Égypte, Cahier no. 36. Cairo: Supreme Council of Antiquities, 2007, pp. 291-308.<BR>",2007,Y:\\images\MFA-images\Giza\GizaImage\full\library\,flentye_fs_oconnor.pdf
24,3,509,"Proceedings of the Ninth International Congress of Egyptologists, pp. 721-735, ""The Development of Art in the Eastern and GIS Cemeteries at Giza during the Fourth Dynasty: Iconography and Style""","Flentye, Laurel. ""The Development of Art in the Eastern and GIS Cemeteries at Giza during the Fourth Dynasty: Iconography and Style."" In Jean-Claude Goyon and Christine Cardin, eds. <I>Proceedings of the Ninth International Congress of Egyptologists, Grenoble, 6-12 septembre 2004</I>, vol. I<I>.</I> Orientalia Lovaniensia Analecta 150. Leuven: Uitgeveru Peeters en Departement Oosterse Studies, 2007, pp. 721-735.<BR>",2007,Y:\\images\MFA-images\Giza\GizaImage\full\library\,flentye_ice_9_2007.pdf
24,3,516,"Göttinger Miszellen 139 (1994), pp. 9-32, ""Hinting as a Method of Old Kingdom Tomb Decoration I. The Offering-Stone and the False Door of the Dwarf Snb""","Bolshakov, Andrey. ""Hinting as a Method of Old Kingdom Tomb Decoration I. The Offering-Stone and the False Door of the Dwarf Snb."" G<I>öttinger Miszellen</I> 139 (1994), pp. 9-32.",1994,Y:\\images\MFA-images\Giza\GizaImage\full\library\,bolshakov_gm_139_1994.pdf
24,3,534,"Sokar 4 (1. Halbjahr 2002), pp. 4-9, ""Bemerkungen zur Entstehung, Lage und Datierung der Nekropolenfelder von Giza unter Cheops""","Jánosi, Peter. ""Bemerkungen zur Entstehung, Lage und Datierung der Nekropolenfelder von Giza unter Cheops."" <EM>Sokar </EM>4 (1. Halbjahr 2002), pp. 4-9.",2002,Y:\\images\MFA-images\Giza\GizaImage\full\library,janosi_sokar_4_2002.pdf
24,3,586,"Mitteilungen des Deutschen Archäologischen Instituts, Abteilung Kairo 54 (1998), pp. 65-75, ""Serdab and Statue Placement in the Private Tombs down to the Fourth Dynasty""","Bárta, Miroslav. ""Serdab and Statue Placement in the Private Tombs down to the Fourth Dynasty."" <I>Mitteilungen des Deutschen Archäologischen Instituts, Abteilung Kairo</I> 54 (1998), pp. 65-75.",1998,Y:\\images\MFA-images\Giza\GizaImage\full\library\,barta_mdaik_54_1998.pdf
27,3,490,"Journal of Egyptian Archaeology 93 (2007), pp. 117-136, ""A New Old Kingdom Inscription from Giza (CGC 57163), and the Problem of sn-Dt in Pharaonic Third Millennium Society""","Moreno García, Juan Carlos. ""A New Old Kingdom Inscription from Giza (CGC 57163), and the Problem of sn-Dt in Pharaonic Third Millennium Society."" <I>Journal of Egyptian Archaeology</I> 93 (2007), pp. 117-136.<BR>",2007,Y:\\images\MFA-images\Giza\GizaImage\full\library\,garcia_jea_93_2007.pdf
31,3,238,Excavations at Gîza 5: 1933-1934,"Hassan, Selim. <I>Excavations at Gîza 5: 1933-1934</I>. With Special Chapters on Methods of Excavation, the False-Door, and Other Archaeological and Religious Subjects. Cairo: Government Press, 1944.",1944,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hassan_giza_5.pdf
32,3,255,Egyptian Statues and Statuettes in the Museum of Anthropology of the University of California,"Lutz, Henry F. <I>Egyptian Statues and Statuettes in the Museum of Anthropology of the University of California</I>. University of California Publications. Egyptian Archaeology 5. Leipzig: J.C. Hinrichs, 1930.<BR>",1930,Y:\\images\MFA-images\Giza\GizaImage\full\library\,lutz_statues.pdf
34,3,439,"Kunst des Alten Reiches, pp. 57-74, ""Pseudo-Groups""","Eaton-Krauss, Marianne. ""Pseudo-Groups."" In Rainer Stadelmann and Hourig Sourouzian, eds. <I>Kunst des Alten Reiches: Symposium im Deutschen Archäologischen Institut Kairo am 29. und 30. Oktober 1991. </I>Sonderschrift des Deutschen Archäologischen Institut Abteilung Kairo 28. Mainz am Rhein: Verlag Philipp von Zabern, 1995, pp. 57-74.",1995,Y:\\images\MFA-images\Giza\GizaImage\full\library\,eaton-krauss_kunst_57-74.pdf
36,3,189,The Minor Cemetery at Giza,"Fisher, Clarence S. <I>The Minor Cemetery at Giza</I>. Philadelphia: University Museum, 1924.<BR>",1924,Y:\\images\MFA-images\Giza\GizaImage\full\library\,fisher_minor_cemetery.pdf
38,3,156,"Ancient Egypt as Represented in the Museum of Fine Arts, Boston","Smith, William Stevenson. <I>Ancient Egypt as Represented in the Museum of Fine Arts, Boston</I>. Boston: Museum of Fine Arts, 1960.",1960,Y:\\images\MFA-images\Giza\GizaImage\full\library\,smith_ancient_egypt.pdf
40,3,141,The Mastabas of Qar and Idu,"Simpson, William Kelly. <I>The Mastabas of Qar and Idu, G 7101 and 7102.</I> Giza Mastabas 2. Boston: Museum of Fine Arts, 1976.",1976,Y:\\images\MFA-images\Giza\GizaImage\full\library\giza_mastabas\giza_mastabas_2\,giza_mastabas_2.pdf
44,3,236,Excavations at Gîza 3: 1931-1932,"Hassan, Selim. <I>Excavations at Gîza 3: 1931-1932</I>. Cairo: Faculty of Arts, Fouad I University &amp; Government Press, 1941.",1941,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hassan_giza_3.pdf
45,3,238,Excavations at Gîza 5: 1933-1934,"Hassan, Selim. <I>Excavations at Gîza 5: 1933-1934</I>. With Special Chapters on Methods of Excavation, the False-Door, and Other Archaeological and Religious Subjects. Cairo: Government Press, 1944.",1944,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hassan_giza_5.pdf
46,3,234,Excavations at Gîza 1: 1929-1930,"Hassan, Selim. <I>Excavations at Gîza 1: 1929-1930</I>. Cairo &amp; Oxford: Faculty of Arts of the Egyptian University &amp; Oxford University Press, 1932.",1932,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hassan_giza_1.pdf
46,3,348,"Egypt and Beyond, pp. 109-144, ""The Menkaure Dyad(s)""","Friedman, Florence Dunn. ""The Menkaure Dyad(s)."" In Stephen E. Thompson and Peter Der Manuelian, eds. <I>Egypt and Beyond: Essays Presented to Leonard H. Lesko upon his Retirement from the Wilbour Chair of Egyptology at Brown University June 2005</I>. Providence: Department of Egyptology and Ancient Western Asian Studies, 2008, pp. 109-144. <BR>",2008,Y:\\images\MFA-images\Giza\GizaImage\full\library\,friedman_fs_lesko.pdf
47,3,12,"Bulletin of the Museum of Fine Arts, Boston 23, No. 136 (April 1925), pp. 12-14, ""Recent Discoveries at the Giza Pyramids""","Unsigned. ""Recent Discoveries at the Giza Pyramids."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 23, No. 136 (April 1925), pp. 12-14.",April 1925,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa23_1925_12to14.pdf
47,3,347,"Egypt and Beyond, pp. 49–89,  ""A Second Style in the Egyptian Relief of the Old Kingdom""","Brovarski, Edward. ""A Second Style in Egyptian Relief of the Old Kingdom."" In Stephen E. Thomson and Peter Der Manuelian, eds. <I>Egypt and Beyond. Essays Presented to Leonard H. Lesko upon his Retirement from the Wilbour Chair of Egyptology at Brown University June 2005</I>, Providence: Department of Egyptology and Ancient Western Asian Studies, 2008, pp. 49-89.",2008,Y:\\images\MFA-images\Giza\GizaImage\full\library\,brovarski_festschrift_lesko.pdf
48,3,190,Gizeh and Rifeh,"Petrie, William F. <I>Gizeh and Rifeh</I>. London: School of Archaeology in Egypt, University College &amp; Bernard Quaritch, 1907.<I></I>",1907,Y:\\images\MFA-images\Giza\GizaImage\full\library\,petrie_gizeh_and_rifeh.pdf
49,3,139,Mastabas of the Western Cemetery: Part 1,"Simpson, William Kelly. <I>Mastabas of the Western Cemetery, Part 1</I>: <I>Sekhemka (G 1029); Tjetu I (G 2001); Iasen (G 2196); Penmeru (G 2197); Hagy, Nefertjentet, and Herunefer (G 2352/53); Djaty, Tjetu II, and Nimesti (G 2337X, 2343, 2366)</I>. Giza Mastabas 4. Boston: Museum of Fine Arts, 1980.",1980,Y:\\images\MFA-images\Giza\GizaImage\full\library\giza_mastabas\giza_mastabas_4\,giza_mastabas_4.pdf
49,3,505,"Mélanges offerts à Edith Varga, pp. 65-80, ""Osiris in the Fourth Dynasty Again? The False Door of Jntj, MFA 31.781""","Bolshakov, Andrey. ""Osiris in the Fourth Dynasty Again? The False Door of Jntj, MFA 31.781."" In Hedvig Györy, ed. <I>Mélanges offerts à Edith Varga. </I>Bulletin du Musée Hongrois des Beaux-Arts Supplément-2001, Budapest: Musée Hongrois des Beaux-Arts, 2001, pp. 65-80.",2001,Y:\\images\MFA-images\Giza\GizaImage\full\library\,bolshakov_fs_varga.pdf
51,3,467,"Festschrift Elmar Edel 12. März 1979, pp. 489-499, ""Topographical Notes on Giza Mastabas""","Simpson, William Kelly. ""Topographical Notes on Giza Mastabas."" In Manfred Görg and Edgar Pusch, eds. <I>Festschrift Elmar Edel 12. März 1979</I>. Ägypten und Altes Testament 1. Bamberg, 1979, pp. 489-499.<BR>",1979,Y:\\images\MFA-images\Giza\GizaImage\full\library\,simpson_fs_edel.pdf
51,3,475,"The Archaeology and Art of Ancient Egypt, Vol. I, pp. 291-308, ""The Mastabas of Ankh-haf (G 7510) and Akhethetep and Meretites (G 7650) in the Eastern Cemetery at Giza: A Reassessment""","Flentye, Laurel. ""The Mastabas of Ankh-haf (G 7510) and Akhethetep and Meretites (G 7650) in the Eastern Cemetery at Giza: A Reassessment."" In Zahi Hawass and Janet Richards, eds. <I>The Archaeology and Art of Ancient Egypt. Essays in Honor of David B. O'Connor</I>, Vol. I. Annales du Service des Antiquités de l'Égypte, Cahier no. 36. Cairo: Supreme Council of Antiquities, 2007, pp. 291-308.<BR>",2007,Y:\\images\MFA-images\Giza\GizaImage\full\library\,flentye_fs_oconnor.pdf
51,3,509,"Proceedings of the Ninth International Congress of Egyptologists, pp. 721-735, ""The Development of Art in the Eastern and GIS Cemeteries at Giza during the Fourth Dynasty: Iconography and Style""","Flentye, Laurel. ""The Development of Art in the Eastern and GIS Cemeteries at Giza during the Fourth Dynasty: Iconography and Style."" In Jean-Claude Goyon and Christine Cardin, eds. <I>Proceedings of the Ninth International Congress of Egyptologists, Grenoble, 6-12 septembre 2004</I>, vol. I<I>.</I> Orientalia Lovaniensia Analecta 150. Leuven: Uitgeveru Peeters en Departement Oosterse Studies, 2007, pp. 721-735.<BR>",2007,Y:\\images\MFA-images\Giza\GizaImage\full\library\,flentye_ice_9_2007.pdf
51,3,556,I Sarcofagi Egizi Dalle Origini Alla Fine Dell'Antico Regno,"Donadoni Roveri, Anna Maria. <I>I Sarcofagi Egizi Dalle Origini Alla Fine Dell'Antico Regno</I>. Rome: Istituto di Studi del Vicino Oriente - Università di Roma, 1969. <BR>",1969,Y:\\images\MFA-images\Giza\GizaImage\full\library\,roveri_sarcofagi.pdf
52,3,231,The Offering Room of Prince Kaninisut,"Junker, Hermann. <I>The Offering Room of Prince Kaninisut</I>. Vienna: Kunsthistorisches Museum, 1931.",1931,Y:\\images\MFA-images\Giza\GizaImage\full\library\,junker_kaninisut.pdf
53,3,236,Excavations at Gîza 3: 1931-1932,"Hassan, Selim. <I>Excavations at Gîza 3: 1931-1932</I>. Cairo: Faculty of Arts, Fouad I University &amp; Government Press, 1941.",1941,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hassan_giza_3.pdf
55,3,490,"Journal of Egyptian Archaeology 93 (2007), pp. 117-136, ""A New Old Kingdom Inscription from Giza (CGC 57163), and the Problem of sn-Dt in Pharaonic Third Millennium Society""","Moreno García, Juan Carlos. ""A New Old Kingdom Inscription from Giza (CGC 57163), and the Problem of sn-Dt in Pharaonic Third Millennium Society."" <I>Journal of Egyptian Archaeology</I> 93 (2007), pp. 117-136.<BR>",2007,Y:\\images\MFA-images\Giza\GizaImage\full\library\,garcia_jea_93_2007.pdf
57,3,237,Excavations at Gîza 4: 1932-1933,"Hassan, Selim. <I>Excavations at Gîza 4: 1932-1933</I>. Cairo: Government Press, 1943.",1943,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hassan_giza_4.pdf
57,3,452,"Bulletin of the Australian Centre for Egyptology 3 (1992), pp. 51-57, ""The Queens of the Old Kingdom and their Tombs""","Jánosi, Peter. ""The Queens of the Old Kingdom and their Tombs."" <I>Bulletin of the Australian Centre for Egyptology</I> 3 (1992), pp. 51-57. <BR>",1992,Y:\\images\MFA-images\Giza\GizaImage\full\library\,janosi_bace3_1992.pdf
59,3,255,Egyptian Statues and Statuettes in the Museum of Anthropology of the University of California,"Lutz, Henry F. <I>Egyptian Statues and Statuettes in the Museum of Anthropology of the University of California</I>. University of California Publications. Egyptian Archaeology 5. Leipzig: J.C. Hinrichs, 1930.<BR>",1930,Y:\\images\MFA-images\Giza\GizaImage\full\library\,lutz_statues.pdf
61,3,564,Excavations at Giza 1949-1950,"Abu Bakr, Abdel Moneim. <I>Excavations at Giza 1949-1950</I>. Cairo: Government Press, 1953.<BR>",1953,Y:\\images\MFA-images\Giza\GizaImage\full\library\,abu-bakr_giza.pdf
62,3,87,"Studies in Honor of William Kelly Simpson 2, pp. 561-588, ""Presenting the Scroll: Papyrus Documents in Tombs Scenes of the Old Kingdom""","Manuelian, Peter Der. ""Presenting the Scroll: Papyrus Documents in Tombs Scenes of the Old Kingdom."" In Peter Der Manuelian, ed. <I>Studies in Honor of William Kelly Simpson</I> 2. Boston: Museum of Fine Arts, Boston, 1996, pp. 561-588.",1996,Y:\\images\MFA-images\Giza\GizaImage\full\library\,manuelian_fs_simpson1996.pdf
62,3,175,Egyptian Women of the Old Kingdom and of the Heracleopolitan Period,"Fischer, Henry G. <I>Egyptian Women of the Old Kingdom and of the Heracleopolitan Period</I>. New York: Metropolitan Museum of Art, 2000.",2000,Y:\\images\MFA-images\Giza\GizaImage\full\library\,fischer_eg_women.pdf
62,3,442,"Zur Zierde gereicht. . . pp. 131-139, ""'...an intact burial-chamber belonging to a great lady of the Royal Family of the Fourth Dynasty' oder: Wo waren Chephrens Tochter bestattet?""","Jánosi, Peter. ""'...an intact burial-chamber belonging to a great lady of the Royal Family of the Fourth Dynasty' oder: Wo waren Chephrens Tochter bestattet?."" In Antje Spiekermann, ed. <I>Zur Zierde gereicht. . . Festschrift Bettina Schmitz zum 60. Geburtstag am 24. Juli 2008</I>, HIldesheimer Ägyptologische Beiträge 50. Hildesheim: Verlag Gebrüder Gerstenberg, 2008, pp. 131-139.",2008,Y:\\images\MFA-images\Giza\GizaImage\full\library\,janosi_fs_schmitz.pdf
62,3,471,"Göttinger Miszellen 158 (1997), pp. 15-32, ""Gab es Kronprinzen in der 4. Dynastie?""","Jánosi, Peter. ""Gab es Kronprinzen in der 4. Dynastie?"" <I>Göttinger Miszellen</I> 158 (1997), pp. 15-32.",1997,Y:\\images\MFA-images\Giza\GizaImage\full\library\,janosi_gm_158_1997.pdf
62,3,505,"Mélanges offerts à Edith Varga, pp. 65-80, ""Osiris in the Fourth Dynasty Again? The False Door of Jntj, MFA 31.781""","Bolshakov, Andrey. ""Osiris in the Fourth Dynasty Again? The False Door of Jntj, MFA 31.781."" In Hedvig Györy, ed. <I>Mélanges offerts à Edith Varga. </I>Bulletin du Musée Hongrois des Beaux-Arts Supplément-2001, Budapest: Musée Hongrois des Beaux-Arts, 2001, pp. 65-80.",2001,Y:\\images\MFA-images\Giza\GizaImage\full\library\,bolshakov_fs_varga.pdf
62,3,517,"Chronique d'Égypte 67 (1992), pp. 203-210, ""Princess Hm.t-ra(w): The First Mention of Osiris?""","Bolshakov, Andrey. ""Princess Hm.t-ra(w): The First Mention of Osiris?"" <EM>Chronique d'Égypte</EM> 67 (1992), pp. 203-210.",1992,Y:\\images\MFA-images\Giza\GizaImage\full\library\,bolshakov_cde_67_1992.pdf
62,3,528,"Bulletin de l'Institut Français d'Archéologie Orientale 95 (1995), pp. 11-21, ""La tombe de la reine-mère xa-mrr-Nbtj Ire""","Baud, Michel. ""La tombe de la reine-mère xa-mrr-Nbtj Ire."" <I>Bulletin de l'Institut Français d'Archéologie Orientale </I>95 (1995), pp. 11-21.",1995,Y:\\images\MFA-images\Giza\GizaImage\full\library\,baud_bifao_95_1995.pdf
65,3,139,Mastabas of the Western Cemetery: Part 1,"Simpson, William Kelly. <I>Mastabas of the Western Cemetery, Part 1</I>: <I>Sekhemka (G 1029); Tjetu I (G 2001); Iasen (G 2196); Penmeru (G 2197); Hagy, Nefertjentet, and Herunefer (G 2352/53); Djaty, Tjetu II, and Nimesti (G 2337X, 2343, 2366)</I>. Giza Mastabas 4. Boston: Museum of Fine Arts, 1980.",1980,Y:\\images\MFA-images\Giza\GizaImage\full\library\giza_mastabas\giza_mastabas_4\,giza_mastabas_4.pdf
66,3,238,Excavations at Gîza 5: 1933-1934,"Hassan, Selim. <I>Excavations at Gîza 5: 1933-1934</I>. With Special Chapters on Methods of Excavation, the False-Door, and Other Archaeological and Religious Subjects. Cairo: Government Press, 1944.",1944,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hassan_giza_5.pdf
68,3,140,"The Mastabas of Kawab, Khafkhufu I and II","Simpson, William Kelly. <I>The Mastabas of Kawab, Khafkhufu I and II</I>. Giza Mastabas 3. Boston: Museum of Fine Arts, 1978.",1978,Y:\\images\MFA-images\Giza\GizaImage\full\library\giza_mastabas\giza_mastabas_3\,giza_mastabas_3.pdf
68,3,173,Ancient Records of Egypt 1,"Breasted, James H. <I>Ancient Records of Egypt</I>: <I>Historical Documents from the Earliest Times to the Persian Conquest, Collected Edited and Translated with Commentary</I>, Vol. 1: <I>The First to the Seventeenth Dynasties</I>. Ancient Records. Chicago: University of Chicago Press, 1906.",1906,Y:\\images\MFA-images\Giza\GizaImage\full\library\,breasted_ancient_records_I.pdf
68,3,312,"Bulletin of the John Rylands Library 44, No. 1 (September 1961), pp.  100-118, ""Studies in the Archaeology of the Near East II: Some Facts Concerning the Great Pyramids of el-Gîza and Their Royal Constructors""","Rowe, Alan. ""Studies in the Archaeology of the Near East II: Some Facts Concerning the Great Pyramids of el-Gîza and Their Royal Constructors."" <I>Bulletin of the John Rylands Library</I> 44, No. 1 (September 1961), pp. 100-118. <I></I>",1961,Y:\\images\MFA-images\Giza\GizaImage\full\library\,rowe_bulletin_rylands_library.pdf
68,3,320,"Egyptian Museum Collections Around the World, pp. 385-396, ""The Development of Art in the Fourth Dynasty: The Eastern and GIS Cemeteries at Giza""","Flentye, Laurel. ""The Development of Art in the Fourth Dynasty: The Eastern and GIS Cemeteries at Giza."" In Mamdouh Eldmaty and Mai Trad, eds. <I>Egyptian Museum Collections Around the World: Studies for the Centennial of the Egyptian Museum, Cairo</I>. Cairo: Supreme Council of Antiquities, 2002, pp. 385-396.",2002,Y:\\images\MFA-images\Giza\GizaImage\full\library\,flentye_cairo_museum.pdf
68,3,430,"Structure and Significance: Thoughts on Ancient Egyptian Architecture, pp. 305-334, ""Khufu's National Project: The Great Pyramid of Giza in the Year 2528 B.C.""","Hawass, Zahi. ""Khufu's National Project: The Great Pyramid of Giza in the Year 2528 B.C."" In Peter Jánosi, ed. <I>Structure and Significance: Thoughts on Ancient Egyptian Architecture</I>, Vienna: Verlag der Österreichischen Akademie der Wissenschaften, 2005, pp. 305-334.<BR>",2005,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hawass_fs_arnold_305to334.pdf
68,3,452,"Bulletin of the Australian Centre for Egyptology 3 (1992), pp. 51-57, ""The Queens of the Old Kingdom and their Tombs""","Jánosi, Peter. ""The Queens of the Old Kingdom and their Tombs."" <I>Bulletin of the Australian Centre for Egyptology</I> 3 (1992), pp. 51-57. <BR>",1992,Y:\\images\MFA-images\Giza\GizaImage\full\library\,janosi_bace3_1992.pdf
68,3,472,"Zeitschrift für Ägyptische Sprache und Altertumskunde 123 (1996), pp. 46-62, ""Die Grabanlagen der Königin Hetepheres II""","Jánosi, Peter. ""Die Grabanlagen der Königin Hetepheres II."" <I>Zeitschrift für Ägyptische Sprache und Altertumskunde</I> 123 (1996), pp. 46-62.<BR>",1996,Y:\\images\MFA-images\Giza\GizaImage\full\library\,janosi_zas_123_1996.pdf
