MediaMasterID,MediaTypeID,Description,MediaView,PublicCaption,ArchIDNum
20899,1,"Cemetery G 4000: street between G 4720 (to S) and G 4730 (to N), G 4721, looking S from photographic tower on G 4730",Western Cemetery,Site: Giza; View: G 4721,459673218
20900,1,"Cemetery G 4000: G 4631, [GLYPHS] ([n-sDr-kA]) Nensedjerkai, abutting E face of G 4630, looking WSW (inscribed false door niche, bottom left)",Western Cemetery,"Site: Giza; View: G 4631, G 4630",459673221
20901,1,"Cemetery G 4000: G 4520, Khufuankh, interior and exterior chapels (left), false door (MFA 21.3081) inscribed for Khufuankh in W wall of interior chapel, offering stone (14-4-49 = MFA 47.1634) in situ in front of false door, small false door inscribed for Iaunisut and his wife Iupu and offering basin inscribed for Khufuankh in exterior chapel, G 4523 (abutting E face of G 4520, N of exterior chapel), looking WWS",Western Cemetery,"Site: Giza; View: G 4520, G 4523",459673227
28630,1,"Skulls from G 2172 H, G 2408 A, G 2175 B, G 2337 B  (front)",Object(s) photograph,"Site: Giza; view: G 2172, G 2408, G 2175, G 2337",462298026
28631,1,"Skulls from G 2172 H, G 2408 A, G 2175 B, G 2337 B (right sides)",Object(s) photograph,"Site: Giza; view: G 2172, G 2408, G 2175, G 2337",462298029
28632,1,"Skulls from G 2172 H, G 2408 A, G 2175 B, G 2337 B (tops)",Object(s) photograph,"Site: Giza; view: G 2172, G 2408, G 2175, G 2337",462298032
30464,1,"Dr. Morton Howell (American minister), Joseph Lindon Smith (in white shirt) and Alfred Lucas, George Reisner and Pierre Lacau; day of lifting lid of Hetepheres sarcophagus (G 7000 X, Hetepheres I)",People & places,Site: Giza; View: G 7000 X,462437916
38719,1,NULL,Maps and plans,"G 2408, Shaft A",471879762
38720,1,NULL,Maps and plans,"G 2408, Shaft A, notes",471879765
44818,1,NULL,Maps and plans,"G 2408, Shaft A",474981619
52753,1,"G 2403, G 2408, and G 2407 (foreground), with N faces of large mastabas G 2360 (to E) and G 2353 (to W), looking S with Khufu pyramid at left and corner of Khafre pyramid at right",Western Cemetery,"Site: Giza; View: G 2403, G 2408, G 2407, G 2360, G 2353",471649217
