ID,Title,Notes,BoilerText,DisplayDate,YearPublished,Format,Language,NumOfPages,Journal,Series
47,"Bulletin of the Museum of Fine Arts, Boston 5, No. 26 (June 1907), pp. 20-21, ""Sculptures from the Excavations at Giza, 1905–1906""","Sculptures from the Excavations at Giza, 1905–1906","Bates, Oric. ""Sculptures from the Excavations at Giza, 1905-1906."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 5, No. 26 (June 1907), pp. 20-21.",June 1907,1907,Bulletin,ENGLISH,2,"Bulletin of the Museum of Fine Arts, Boston",
48,"Bulletin of the Museum of Fine Arts, Boston 46, No. 264 (June 1948), pp. 30–36, ""A Wooden Statue of Dynasty VI""",A Wooden Statue of Dynasty VI,"Bothmer, Bernard. ""A Wooden Statue of Dynasty VI."" <I>Bulletin of the Museum of Fine Arts, Boston </I>46, No. 264 (June 1948), pp. 30-36.",June 1948,1948,Bulletin,ENGLISH,7,"Bulletin of the Museum of Fine Arts, Boston",
49,"Bulletin of the Museum of Fine Arts, Boston 48, No. 271 (February 1950), pp. 10-17, ""Notes on the Mycerinus Triad""",Notes on the Mycerinus Triad,"Bothmer, Bernard V. ""Notes on the Mycerinus Triad."" <I>Bulletin of the Museum of Fine Arts, Boston </I>48, No. 271 (February 1950), pp. 10-17.",February 1950,1950,Bulletin,ENGLISH,8,"Bulletin of the Museum of Fine Arts, Boston",
50,"Studies in Honor of William Kelly Simpson 1, pp. 117-155, ""An Inventory List from 'Covington's Tomb' and Nomenclature for Furniture in the Old Kingdom""",An Inventory List from Covington's Tomb and Nomenclature for Furniture in the Old Kingdom,"Brovarski, Edward. ""An Inventory List from 'Covington's Tomb' and Nomenclature for Furniture in the Old Kingdom."" In Peter Der Manuelian, ed. <I>Studies in Honor of William Kelly Simpson </I>1. Boston: Museum of Fine Arts, 1996, pp. 117-155.",1996,1996,Article,ENGLISH,39,NULL,NULL
51,Relief Decoration in the Royal Funerary Complexes of the Old Kingdom,Relief Decoration in the Royal Funerary Complexes of the Old Kingdom,"Cwiek, Andrzej. Relief Decoration in the <I>Royal Funerary Complexes of the Old Kingdom: Studies in the Development, Scene Content and Iconography</I>. Warsaw: Institute of Archaeology, Faculty of History, Warsaw University, 2003.<BR>",2003,2003,Doctoral Thesis,ENGLISH,NULL,NULL,NULL
52,The Mastaba of Queen Mersyankh III (G 7530-7540),The Mastaba of Queen Mersyankh III (G 7530-7540),"Dunham, Dows, and William Kelly Simpson. <I>The Mastaba of Queen Mersyankh III (G 7530-7540)</I>. Giza Mastabas 1. Boston, Museum of Fine Arts, 1974.",1974,1974,Book,ENGLISH,NULL,NULL,Giza Mastabas
53,"Bulletin of the Museum of Fine Arts, Boston 34, No. 201 (February 1936), pp. 3-5, ""A Statuette of Two Egyptian Queens""",A Statuette of Two Egyptian Queens,"Dunham, Dows. ""A Statuette of Two Egyptian Queens."" <I>Bulletin of the Museum of Fine Arts, Boston </I>34, No. 201 (February 1936), pp. 3-5.",February 1936,1936,Bulletin,ENGLISH,3,"Bulletin of the Museum of Fine Arts, Boston",
54,"Bulletin of the Museum of Fine Arts, Boston 28, No. 167 (December 1930), pp. 117–123, ""Amulets of the Late Period""",Amulets of the Late Period,"Dunham, Dows. ""Amulets of the Late Period."" <I>Bulletin of the Museum of Fine Arts, Boston </I>28, No. 167 (December 1930), pp. 117-123.",December 1930,1930,Bulletin,ENGLISH,7,"Bulletin of the Museum of Fine Arts, Boston",
55,"Bulletin of the Museum of Fine Arts, Boston 37, No. 224 (December 1939), pp. 117–118, ""An Alabaster Statuette of Prince Khnum-baf""",An Alabaster Statuette of Prince Khnum-baf,"Dunham, Dows. ""An Alabaster Statuette of Prince Khnum-baf."" <I>Bulletin of the Museum of Fine Arts, Boston </I>37, No. 224 (December 1939), pp. 117-118.",December 1939,1939,Bulletin,ENGLISH,2,"Bulletin of the Museum of Fine Arts, Boston",
56,"Bulletin of the Museum of Fine Arts, Boston 44, No. 255 (February 1946), pp. 23-29, ""An Egyptian Diadem of the Old Kingdom""",An Egyptian Diadem of the Old Kingdom,"Dunham, Dows. ""An Egyptian Diadem of the Old Kingdom."" <I>Bulletin of the Museum of Fine Arts, Boston </I>44, No. 255 (February 1946), pp. 23-29.",February 1946,1946,Bulletin,ENGLISH,7,"Bulletin of the Museum of Fine Arts, Boston",
57,"Bulletin of the Museum of Fine Arts, Boston 41, No. 243 (February 1943), p. 10, ""An Experiment with an Egyptian Portrait, Ankh-haf in Modern Dress""","An Experiment with an Egyptian Portrait, Ankh-haf in Modern Dress","Dunham, Dows. ""An Experiment with an Egyptian Portrait, Ankh-haf in Modern Dress."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 41, No. 243 (February 1943), p. 10.",February 1943,1943,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
58,"Archaeology 9, No. 3 (Autumn 1956), pp. 159–165, ""Building an Egyptian Pyramid""",Building an Egyptian Pyramid,"Dunham, Dows. ""Building an Egyptian Pyramid."" <I>Archaeology</I> 9, No. 3 (Autumn 1956), pp. 159-165.",Autumn 1956,1956,Magazine,ENGLISH,7,Archaeology,NULL
59,"Bulletin of the Museum of Fine Arts, Boston 34, No. 202 (April 1936), p. 25, ""Egyptian Study Room Opened""",Egyptian Study Room Opened,"Dunham, Dows. ""Egyptian Study Room Opened."" <I>Bulletin of the Museum of Fine Arts, Boston </I>34, No. 202 (April 1936), p. 25.",April 1936,1936,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
60,"Bulletin of the Museum of Fine Arts, Boston 24, No. 145 (October 1926), p. 72, ""New Egyptian Room Opened""",New Egyptian Room Opened,"Dunham, Dows. ""New Egyptian Room Opened."" <I>Bulletin of the Museum of Fine Arts, Boston </I>24, No. 145 (October 1926), p. 72.",October 1926,1926,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
61,"Bulletin of the Museum of Fine Arts, Boston 25, No. 152 (December 1927), pp. 96-98, ""New Installation in the Egyptian Department""",New Installation in the Egyptian Department,"Dunham, Dows. ""New Installation in the Egyptian Department."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 25, No. 152 (December 1927), pp. 96-98.",December 1927,1927,Bulletin,ENGLISH,3,"Bulletin of the Museum of Fine Arts, Boston",
62,"Bulletin of the Museum of Fine Arts, Boston 34, No. 203 (June 1936), p. 46, ""New Paintings of Egyptian Tombs""",New Paintings of Egyptian Tombs,"Dunham, Dows. ""New Paintings of Egyptian Tombs."" <I>Bulletin of the Museum of Fine Arts, Boston </I>34, No. 203 (June 1936), p. 46.",June 1936,1936,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
63,"Bulletin of the Museum of Fine Arts, Boston 41, No. 246 (December 1943), pp. 68-72, ""Portraiture in Ancient Egypt""",Portraiture in Ancient Egypt,"Dunham, Dows. ""Portraiture in Ancient Egypt."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 41, No. 246 (December 1943), pp. 68-72.",December 1943,1943,Bulletin,ENGLISH,5,"Bulletin of the Museum of Fine Arts, Boston",
64,"Bulletin of the Museum of Fine Arts, Boston 37, No. 222 (August 1939), pp. 62-64, ""Some Notes on Ancient Egyptian Line Drawing""",Some Notes on Ancient Egyptian Line Drawing,"Dunham, Dows. ""Some Notes on Ancient Egyptian Line Drawing."" <I>Bulletin of the Museum of Fine Arts, Boston </I>37, No. 222 (August 1939), pp. 62-64.",August 1939,1939,Bulletin,ENGLISH,3,"Bulletin of the Museum of Fine Arts, Boston",
65,"Bulletin of the Museum of Fine Arts, Boston 33, No. 196 (April 1935), pp. 21-25, ""Successive Installations of a Statue of King Mycerinus""",Successive Installations of a Statue of King Mycerinus,"Dunham, Dows. ""Successive Installations of a Statue of King Mycerinus."" <I>Bulletin of the Museum of Fine Arts, Boston </I>33, No. 196 (April 1935), pp. 21-25.",April 1935,1935,Bulletin,ENGLISH,5,"Bulletin of the Museum of Fine Arts, Boston",
66,"Bulletin of the Museum of Fine Arts, Boston 37, No. 221 (June 1939), pp. 42-46, ""The Portrait Bust of Prince Ankh-haf""",The Portrait Bust of Prince Ankh-haf,"Dunham, Dows. ""The Portrait Bust of Prince Ankh-haf."" <I>Bulletin of the Museum of Fine Arts, Boston </I>37, No. 221 (June 1939), pp. 41-46.",June 1939,1939,Bulletin,ENGLISH,5,"Bulletin of the Museum of Fine Arts, Boston",
67,"Bulletin of the Museum of Fine Arts, Boston 25, no. 150 (August 1927), p. 54, ""The Tomb of Queen Hetep-heres""",The Tomb of Queen Hetep-heres,"Dunham, Dows. ""The Tomb of Queen Hetep-heres."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 25, No. 150 (August 1927), p. 54.",August 1927,1927,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
68,"Bulletin of the Museum of Fine Arts, Boston 66, No. 346 (1968), pp. 167-168, ""William Stevenson Smith""",William Stevenson Smith,"Dunham, Dows. ""William Stevenson Smith."" <I>Bulletin of the Museum of Fine Arts, Boston </I>66, No. 346 (1968), pp. 167-168.<BR>",1968,1968,Bulletin,ENGLISH,2,"Bulletin of the Museum of Fine Arts, Boston",
69,"Journal of Egyptian Archaeology 24 (1938), pp. 1-8, ""The Biographical Inscriptions of Nekhebu in Boston and Cairo""",The Biographical Inscriptions of Nekhebu in Boston and Cairo,"Dunham, Dows. ""The Biographical Inscriptions of Nekhebu in Boston and Cairo."" <I>Journal of Egyptian Archaeology </I>24 (1938), pp. 1-8.",1938,1938,Journal Article,ENGLISH,8,Journal of Egyptian Archaeology,
70,Recollections of an Egyptologist,Recollections of an Egyptologist,"Dunham, Dows. <I>Recollections of an Egyptologist</I>. Boston: Museum of Fine Arts, 1972.",1972,1972,Book,ENGLISH,NULL,NULL,NULL
71,The Egyptian Department and its Excavations,The Egyptian Department and its Excavations,"Dunham, Dows. <I>The Egyptian Department and its Excavations</I>. Boston: Museum of Fine Arts, 1958.",1958,1958,Book,ENGLISH,NULL,NULL,NULL
72,Sept tombeaux à l'est de la Grande Pyramide de Guizeh,Sept Tombeaux&nbsp;a l'est de la Grande Pyramide de Guizeh,"Fakhry, Ahmed. <I>Sept tombeaux à l'est de la Grande Pyramide de Guizeh.</I> Cairo: Imprimerie de l'Institut Français d'Archéologie Orientale, 1935. <BR>",1935,1935,Book,FRENCH,NULL,NULL,NULL
73,"Bulletin of the Museum of Fine Arts, Boston 12, No. 71 (August 1914), pp. 39–40, ""New Egyptian Galleries""",New Egyptian Galleries,"Fisher, Clarence S. ""New Egyptian Galleries."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 12, No. 71 (August 1914), pp. 39-40.",August 1914,1914,Bulletin,ENGLISH,2,"Bulletin of the Museum of Fine Arts, Boston",
75,"Studies in Honor of William Kelly Simpson 1, pp. 379-398, ""The Discovery of the Satellite Pyramid of Khufu (GI-d)""",The Discovery of the Satellite Pyramid of Khufu (GI-d),"Hawass, Zahi. ""The Discovery of the Satellite Pyramid of Khufu (GI-d)."" In Peter Der Manuelian, ed. <I>Studies in Honor of William Kelly Simpson</I> 1. Boston: Museum of Fine Arts, Boston, 1996, pp. 379-398.",1996,1996,Article,ENGLISH,20,NULL,NULL
77,"Studies in Ancient Egypt, the Aegean, and the Sudan, pp. 104-114, ""An Unusual Rock-Cut Tomb at Giza""",An Unusual Rock-Cut Tomb at Giza,"Kendall, Timothy. ""An Unusual Rock-Cut Tomb at Giza."" In William Kelly Simpson and Whitney M. Davis, eds. <I>Studies in Ancient Egypt, the Aegean, and the Sudan: Essays in Honor of Dows Dunham on the Occasion of his 90th Birthday, June 1, 1980. </I>Boston: Museum of Fine Arts, 1981, pp. 104-114.",1981,1981,Article,ENGLISH,11,NULL,NULL
78,Der Serdab in den Privatgräbern des Alten Reiches 1. Text,Der Serdab in den Privatgrabern des Alten Reiches 1. Text,"Lehmann, Katja. <I>Der Serdab in den Privatgräbern des Alten Reiches</I> 1. Text. Ph.D. Dissertation, Universität Heidelberg, 2000.",2000,2000,Doctoral Thesis,GERMAN,NULL,NULL,NULL
79,"Journal of the American Research Center in Egypt 38 (2001), pp. 21–60, ""The 1988/1989 Excavation of Petrie's 'Workmen's Barracks' at Giza""",The 1988/1989 Excavation of Petrie's Workmen's Barracks at Giza,"Lehner, Mark. ""The 1988/1989 Excavation of Petrie's 'Workmen's Barracks' at Giza."" <I>Journal of the American Research Center in Egypt </I>38 (2001), pp. 21-60.",2001,2001,Journal Article,ENGLISH,40,Journal of the American Research Center in Egypt,
80,"Archiv für Orientforschung 32 (1985), pp. 136–158, ""Giza. A Contextual Approach to the Pyramids""",Giza. A Contextual Approach to the Pyramids,"Lehner, Mark. ""Giza. A Contextual Approach to the Pyramids."" <I>Archiv für Orientforschung </I>32 (1985), pp. 136-158.",1985,1985,Journal Article,ENGLISH,23,Archiv für Orientforschung,
81,"Mitteilungen des Deutschen Archäologischen Instituts, Abteilung Kairo 41 (1985), pp. 109-143, ""The Development of the Giza Necropolis. The Khufu Project""",The Development of the Giza Necropolis. The Khufu Project,"Lehner, Mark. ""The Development of the Giza Necropolis. The Khufu Project."" <I>Mitteilungen des Deutschen Archäologischen Instituts, Abteilung Kairo</I> 41 (1985), pp. 109-143.",1985,1985,Journal Article,ENGLISH,35,Mitteilungen des Deutschen Archäologischen Instituts Abteilung Kairo,
82,"Journal of the American Research Center in Egypt 39 (2002), pp. 27-74, ""The Pyramid Age Settlement of the Southern Mount at Giza""",The Pyramid Age Settlement of the Southern Mount at Giza,"Lehner, Mark. ""The Pyramid Age Settlement of the Southern Mount at Giza."" <I>Journal of the American Research Center in Egypt </I>39 (2002), pp. 27-74.",2002,2002,Journal Article,ENGLISH,48,Journal of the American Research Center in Egypt,
83,"Journal of the American Research Center in Egypt 29 (1992), pp. 1-34, ""George Andrew Reisner on Archaeological Photography""",George Andrew Reisner on Archaeological Photography,"Manuelian, Peter Der. ""George Andrew Reisner on Archaeological Photography."" <I>Journal of the American Research Center in Egypt </I>29 (1992), pp. 1-34.",1992,1992,Journal Article,ENGLISH,34,Journal of the American Research Center in Egypt,
84,"Egyptian Archaeology 17 (Autumn 2000), pp. 25–27, ""Digital Epigraphy at Giza""",Digital Epigraphy at Giza,"Manuelian, Peter Der. ""Digital Epigraphy at Giza."" <I>Egyptian Archaeology </I>17 (Autumn 2000), pp. 25-27.",Autumn 2000,2000,Magazine,ENGLISH,3,Egyptian Archaeology,NULL
85,"Journal of the American Research Center in Egypt 35 (1998), pp. 97-113, ""Digital Epigraphy: An Approach to Streamlining Egyptological Epigraphic Method""",Digital Epigraphy: An Approach to Streamlining Egyptological Epigraphic Method,"Manuelian, Peter Der. ""Digital Epigraphy: An Approach to Streamlining Egyptological Epigraphic Method."" <I>Journal of the American Research Center in Egypt </I>35 (1998), pp. 97-113.",1998,1998,Journal Article,ENGLISH,17,Journal of the American Research Center in Egypt,
86,"KMT 7, no. 2 (Summer 1996), pp. 60-75, ""March 1912: A Month in the Life of American Egyptologist George A. Reisner""",March 1912: A Month in the Life of American Egyptologist George A. Reisner,"Manuelian, Peter Der. ""March 1912: A Month in the Life of American Egyptologist George A. Reisner."" <I>KMT</I> 7, No. 2 (Summer 1996), pp. 60-75.",Summer 1996,1996,Magazine,ENGLISH,16,KMT,
87,"Studies in Honor of William Kelly Simpson 2, pp. 561-588, ""Presenting the Scroll: Papyrus Documents in Tombs Scenes of the Old Kingdom""",Presenting the Scroll: Papyrus Documents in Tombs Scenes of the Old Kingdom,"Manuelian, Peter Der. ""Presenting the Scroll: Papyrus Documents in Tombs Scenes of the Old Kingdom."" In Peter Der Manuelian, ed. <I>Studies in Honor of William Kelly Simpson</I> 2. Boston: Museum of Fine Arts, Boston, 1996, pp. 561-588.",1996,1996,Article,ENGLISH,28,NULL,NULL
88,"For His Ka, pp. 55-78, ""The Giza Mastaba Niche and Full Frontal Figure of Redi-nes in the Museum of Fine Arts, Boston""","The Giza Mastaba Niche and Full Frontal Figure of Redi-nes in the Museum of Fine Arts, Boston","Manuelian, Peter Der. ""The Giza Mastaba Niche and Full Frontal Figure of Redi-nes in the Museum of Fine Arts, Boston."" In David P. Silverman, ed. <I>For His Ka: Essays Offered in Memory of Klaus Baer</I>. Studies in Ancient Oriental Civilization 55. Chicago: University of Chicago, 1994, pp. 55-78.",1994,1994,Article,ENGLISH,24,NULL,Studies in Ancient Oriental Civilization
89,"Antiquity 74, no 286 (2000), pp. 898–908, ""Categorizing Archaeological Finds: the Funerary Material of Queen Hetepheres I at Giza""",Categorizing Archaeological Finds: the Funerary Material of Queen Hetepheres I at Giza,"Münch, Hans-Hubertus, ""Categorizing Archaeological Finds: the Funerary Material of Queen Hetepheres I at Giza."" <I>Antiquity</I> 74, No 286 (2000), pp. 898-908.",2000,2000,Journal Article,ENGLISH,11,Antiquity,
91,"Bulletin of the Museum of Fine Arts, Boston 37, No. 220 (April 1939), pp. 29-35, ""A Family of Royal Estate Stewards of Dynasty V""",A Family of Royal Estate Stewards of Dynasty V,"Reisner, George A. ""A Family of Royal Estate Stewards of Dynasty V."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 37, No. 220 (April 1939), pp. 29-35.",April 1939,1939,Bulletin,ENGLISH,7,"Bulletin of the Museum of Fine Arts, Boston",
92,"Stationen: Beiträge zur Kulturgeschichte Ägyptens, pp. 115–34, The Problem of the Giza Slab Stelae",The Problem of the Giza Slab Stelae,"Manuelian, Peter Der. ""The Problem of the Giza Slab Stelae."" In Heike Guksch and Daniel Polz, eds. <I>Stationen. Beiträge zur Kulturgeschichte Ägyptens Rainer Stadelmann gewidmet</I>, Mainz: Philipp von Zabern, 1998, pp. 115-134.",1998,1998,Article,ENGLISH,20,NULL,NULL
93,"Egyptian Museum Collections Around the World, pp. 777-790, ""Unfinished Business: The Giza Tablet of Tjenti (JE 72135)""",Unfinished Business: The Giza Tablet of Tjenti (JE 72135),"Manuelian, Peter Der. ""Unfinished Business: The Giza Tablet of Tjenti (JE 72135)."" In Mamdouh Eldmaty and Mai Trad, eds. <I>Egyptian Museum Collections Around the World: Studies for the Centennial of the Egyptian Museum, Cairo</I>. Cairo: Supreme Council of Antiquities, 2002, pp. 777-790.",2002,2002,Article,ENGLISH,14,NULL,NULL
94,Slab Stelae of the Giza Necropolis,Slab Stelae of the Giza Necropolis,"Manuelian, Peter Der. <I>Slab Stelae of the Giza Necropolis. </I>Publications of the Pennsylvania-Yale Expedition to Egypt 7. New Haven &amp; Philadelphia: Peabody Museum of Natural History of Yale University &amp; University of Pennsylvania Museum of Archaeology and Anthropology, 2003.",2003,2003,Book,ENGLISH,NULL,NULL,Publications of the Pennsylvania-Yale Expedition to Egypt
95,"Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings III. Memphis (Giza pages only)","Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings III. Memphis","Porter, Bertha, and Rosalind L.B. Moss. <I>Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings </I>3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: <I>M</I>emphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974.",1974,1974,Book,ENGLISH,NULL,NULL,"Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings"
96,"Harvard Alumni Bulletin (March 19, 1925), pp. 736-740, ""A New Discovery in Egypt""",A New Discovery in Egypt,"Reisner, George A. ""A New Discovery in Egypt."" <I>Harvard Alumni Bulletin </I>(March 19, 1925), pp. 736-740.","March 19, 1925",1925,Bulletin,ENGLISH,16,Harvard Alumni Bulletin,
97,"Zeitschrift für Ägyptische Sprache und Altertumskunde 48 (1911), pp. 113-114, ""A Scribe’s Tablet found by the Hearst Expedition at Giza""",A Scribe’s Tablet Found by the Hearst Expedition at Giza,"Reisner, George A. ""A Scribe's Tablet found by the Hearst Expedition at Giza."" In <I>Richard Lepsius als Erinnerungsdenkmal zum hundertsten Geburtstage</I>. <I>Zeitschrift für Ägyptische Sprache und Altertumskunde </I>48 (1911), pp. 113-114.",1911,1911,Journal Article,GERMAN,2,Zeitschrift für Ägyptische Sprache und Altertumskunde,
99,"Bulletin of the Museum of Fine Arts, Boston 13, No. 76 (April 1915), pp. 29–36, ""Accessions to the Egyptian Department During 1914""",Accessions to the Egyptian Department during 1914 A,"Reisner, George A. ""Accessions to the Egyptian Department During 1914."" <I>Bulletin of the Museum of Fine Arts, Boston </I>13, No. 76 (April 1915), pp. 29-36.",April 1915,1915,Bulletin,ENGLISH,8,"Bulletin of the Museum of Fine Arts, Boston",
100,"The American Kennel Gazette 55, No. 5 (May 1, 1938), pp. 7-9, 180-82, ""Ancient King Gives Dog A Royal Burial""",Ancient King Gives Dog A Royal Burial,"Reisner, George A. ""Ancient King Gives Dog A Royal Burial."" <I>The American Kennel Gazette </I>55, No. 5 (May 1, 1938), pp. 7-9, 180-82.","May 1, 1938",1938,Journal Article,ENGLISH,6,American Kennel Gazette,
101,"The Youth’s Companion 99, No. 33 (August 13, 1925), p. 550, ""Crocodiles and Magic""",Crocodiles and Magic,"Reisner, George A. ""Crocodiles and Magic."" <I>The Youth's Companion </I>99, No. 33 (August 13, 1925), p. 550.","August 13, 1925",1925,Magazine,ENGLISH,1,The Youth's Companion,
102,"The Development of Harvard University since the Inauguration of President Eliot 1869–1929, pp. 241–247, ""Egyptology 1896-1928""",Egyptology 1896-1928,"Reisner, George A. ""Egyptology 1896-1928."" In Samuel Eliot Morison, ed. <I>The Development of Harvard University since the Inauguration of President Eliot 1869-1929</I>. Cambridge, MA: Harvard University Press, 1930, pp. 241-247.",1930,1930,Article,ENGLISH,7,NULL,NULL
103,"Bulletin of the Museum of Fine Arts, Boston 23, No. 137 (June 1925), pp. 17–29, ""Excavations in Egypt and Ethiopia 1922–1925""",Excavations in Egypt and Ethiopia 1922–1925,"Reisner, George A. ""Excavations in Egypt and Ethiopia 19221925."" <I>Bulletin of the Museum of Fine Arts, Boston </I>23, No. 137 (June 1925), pp. 17-29.",June 1925,1925,Bulletin,ENGLISH,13,"Bulletin of the Museum of Fine Arts, Boston",NULL
104,"Bulletin of the Museum of Fine Arts, Boston 25, supplement (May 1927), pp. 1-36, ""Hetep-Heres, Mother of Cheops""","Hetep-Heres, Mother of Cheops","Reisner, George A. ""Hetep-Heres, Mother of Cheops."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 25, supplement (May 1927), pp. 1-36.",May 1927,1927,Bulletin,ENGLISH,36,"Bulletin of the Museum of Fine Arts, Boston",
105,"Zeitschrift für Ägyptische Sprache und Altertumskunde 64 (1929), pp. 97-99, ""Nefertkauw, the Eldest Daughter of Sneferuw""","Nefertkauw, the Eldest Daughter of Sneferuw","Reisner, George A. ""Nefertkauw, the Eldest Daughter of Sneferuw."" <I>Zeitschrift für Ägyptische Sprache und Altertumskunde </I>64 (1929), pp. 97-99.",1929,1929,Journal Article,ENGLISH,3,Zeitschrift für Ägyptische Sprache und Altertumskunde,
