ReferenceID,ConstituentID,ConstituentTypeID,Role,DisplayName,DisplayDate,Remarks,AlphaSort,ThumbPathName,ThumbFileName,ArchIDNum
7,279,3,Individual - Ancient,Mehi (in G 2391),NULL,"Son ([sA=f] his son) of Irenakhet Iri (owner of G 2391) and ([sA=s] her son) of Kaesites; father of Neferi and Hatkau. Appears on fitting blocks of limestone lintel (12-12-165 = MFA 13.4333) inscribed for his father Irenakhet Iri (third figure from left [first figure in row of siblings facing Irenakhet Iri and Kaesites]), identified as [jmj-r wpwt Hmw-kA Spss nswt smr pr] overseer of commissions of ka-priests, noble of the king, companion of the house; also appears on block of limestone lintel (12-12-166 = MFA 13.4337) inscribed for his mother Kaesites (fouth figure from left [figure on right of two siblings facing Kaesites]); also appears on limestone lintel (12-12-167 = MFA 13.4338) inscribed for his son Neferi (right end of block, faced by his daughter Hatkau and son Neferi); all found displaced in front of G 2391.  Probably same individual as Mehi, identified as [Hm-kA] ka-priest, on false door inscribed for his father Irenakhet Iri; central false door in situ in G 2391.",Mehi,https://nrs.harvard.edu,urn-3:FHCL:37704897?width=170&height=170,459586791
7,363,3,Individual - Ancient,Rudj (G 2362),NULL,"Owner of G 2362. Limestone false door inscribed for Rudj; found displaced (and damaged) on G 2362. Fragments of limestone architrave inscribed for Rudj (12-10-37a [face ""a""] = MFA 13.4334a, identifed as [Hm-nTr mAat jmj-xt Hmw-kA sS n sA] priest of Maat, under-supervisor of ka-priests, scribe of a phyle; two fitting fragments 12-10-37b [face ""b""] = MFA 13.4334b + MFA 13.4334c, identifed as [sAb jmj-r sSw] juridicial overseer of scribes; related fragments: face ""a"": 35-8-75a and 35-8-75b; face ""b"": two fitting fragments 35-8-76a = MFA 13.4334d + 35-8-76b = MFA 13.4334g and non-fitting fragment 35-8-76c, and two fitting fragments 35-9-7b = MFA 13.4334e + 35-9-7c = MFA 13.4334f); all originally from G 2362.",Rudj,https://nrs.harvard.edu,urn-3:FHCL:37792279?width=170&height=170,459779767
7,604,3,Individual - Ancient,Ma (G 2361),NULL,"Owner of G 2361. Limestone false door inscribed for Ma, identified as [jmj-r sSr] overseer of linen; in situ in G 2361.",Ma,https://nrs.harvard.edu,urn-3:FHCL:37818446?width=170&height=170,459916820
7,611,3,Individual - Ancient,Merptahankh-meryre Nekhebu (G 2381),NULL,"Owner of G 2381, buried in sloping-passage shaft G 2382 A. Son of Khnumenti (?) (owner of G 2374). Father of Merptahankh-meryre Ptahshepses Impy, Sabuptah Ibebi, and Tjemat; Nekhebu identified variously as [jmj-r kAt jmj-r kAt nbt nt nswt jmj-r wpwt nswt mnnfr-mrjra ppj jmj-r xntjw-S mnnfr-mrjra ppj jmj-r qdw aA dwAw mtj n sA mDH nswt mDH nswt qdw mDH nswt qdw m prwj Hrj-sStA n wabtj xrp SnDt nbt Xrj-Hb Xrj-Hb Hrj-tp Xrj-tp nswt sm smr watj smsw snwt sHD qdw Sps nswt qdw n aSAt qdw m prwj kAwtj] overseer of works, overseer of all royal works, overseer of royal commissions of the pyramid of Pepi I, overseer of palace attendants of the pyramid of Pepi I, overseer of builders, assistant of (the god) Duau, regulator of a phyle, royal carpenter, royal architect, royal architect in the two houses, secretary of the two wabets, director of every kilt, lector-priest, chief lector-priest, royal chamberlain, sem-priest, sole companion, elder of the snwt-house, inspector of builders, noble of the king, ordinary builder, builder in the two houses, workman.  Appears in chapel relief and wall paintings:  1) relief scene (13-3-545 = MFA 13.4335) probably from lintel depicting six standing figures (three facing right, three facing left) of Nekhebu holding staff and scepter with columns of hieroglyphic text between figures identifying Nekhebu with his names, titles, and honorific epithets;  2) painted scene (13-1-546 = MFA 13.4339) of at least three registers depicting Nekhebu striding to right with name and titles in black in front of each figure;  3) autobiographical inscription of Nekhebu (13-1-547 = MFA 13.4331) with eight vertical columns and one horizontal line of text above seated figure of Nekhebu (facing left);  4) autobiographical inscription of Nekhebu (13-1-548 = MFA 13.5969 + Cairo JE 44608) with ten vertical columns and one horizontal line of text above seated figure of Nekhebu (facing right);  5) relief scene (13-1-549 = MFA 13.4331 + possibly one fragment from 13-1-558a = MFA 13.5975) from wall adjoining autobiographical inscription (13-1-547) depicting Nekhebu spear fishing in marsh;  6) relief scene (13-1-550 = MFA 13.4351) depicting figure of Nekhebu (facing right, only top of head preserved) with five vertical columns of inscription (above) and offering list (in front);  7) two door jambs (13-1-551: left jamb = MFA 13.4348; right jamb = MFA 13.4349) depicting standing figures of Nekhebu with accompanying inscription;  8) relief scene (13-1-553 + 13-1-556j + 13-1-558i = MFA 13.5834) depicting aging Nekhebu kneeling in boat in marsh;  9) relief scene (13-1-554 = MFA 13.4349) from section of facade adjoining right door jamb (13-1-551) depicting registers of Nile boats, on one boat in middle register (MFA 13.4349.2) seated figure of Nekhebu faced by his wife Hatkau playing harp;  10) relief scene (13-1-555 = MFA 13.4346 + possibly 13-1-558d = MFA 13.5974) depicting seated figure of Nekhebu (facing right) and three registers of offering bearers (facing left) leading cattle and gazelle;  11) relief scene (13-1-555 + 13-1-556 + 13-1-558o = MFA 13.5830) depicting Nekhebu seated in carrying chair;  12) relief scene (13-1-556d  + 13-1-558j = MFA 13.5934) depicting seated figure of Nekhebu (facing right) and two registers of family members and offering bearers (facing left);  13) relief scene (13-1-556l  + 13-1-558k = MFA 13.5935) depicting seated figure of Nekhebu (facing left) with vertical columns of inscription above;  14) relief scene (13-1-558l = MFA 13.5936) depicting seated figure of Nekhebu (facing right) with vertical columns of inscription above (original position to left of section of facade with ceremonial dancers and offering bearers MFA 13.4348).  Chapel almost completely destroyed with most blocks and fragments of relief and inscription found scattered in Senedjemib Complex court (G 2382).   Fragmentary limestone seated statue (12-12-14 + 12-12-22 = MFA 13.3161a-b) inscribed for Nekhebu, identified as [smr watj mDH qd nswt m prwj] sole companion, royal architect in the two houses; fragments found scattered in Senedjemib Complex court (G 2382).  Fragmentary limestone seated statue (12-11-26) inscribed for Nekhebu, identified as [smr watj mDH qd nswt m prwj] sole companion, royal architect in the two houses; fragments found scattered in G 2370 and Senedjemib Complex court (G 2382).  Fragment of limestone seated statue (12-12-595 = MFA 13.3159) inscribed for Nekhebu, identified as [smr watj mDH qd nswt m prwj] sole companion, royal architect in the two houses; found in debris west of G 2381 A.  Fragmentary incomplete limestone seated statue (12-11-58 + 12-12-176a = MFA 13.3149a-c), preserved fragments uninscribed, attributed to Nekhebu; fragments found scattered in G 2381.  Fragment of limestone seated statue (12-12-9 = MFA 13.3156), preserved fragment uninscribed, attributed to Nekhebu; found in Senedjemib Complex court (G 2382).  Fragment of limestone seated statue (12-12-16 = MFA 13.3154), preserved fragment uninscribed, attributed to Nekhebu; found in G 2381.  Limestone obelisk (12-12-23 = MFA 13.4353 deaccessioned = Memphis 1981.1.5) inscribed for Nekhebu, identified as [jmj-r kAt nbt nt nswt smr watj] overseer of all royal works, sole companion; found in Senedjemib Complex court (G 2382).  Fragments of diorite offering table (12-12-20 = MFA 13.3143a-b) inscribed for Nekhebu; found in Senedjemib Complex court (G 2382).",Merptahankh-meryre Nekhebu,https://nrs.harvard.edu,urn-3:FHCL:38496854?width=170&height=170,462298215
7,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
7,1865,3,Individual - Ancient,Senedjemib Inti (G 2370),NULL,"Owner of G 2370. Senedjemib, [rn=f nfr] his good name Inti. Father of Senedjemib Mehi (owner of G 2378) and Khnumenti (owner of G 2374). Appears in chapel relief (throughout chapel), architectural elements (including portico facade, door jambs and displaced portico architrave) and false door inscribed for Senedjemib Inti, identified as [xrp sSw nbw Xrj-tp nswt jmj-r Snwtj jmj-r pr-aHAw mDH qd nswt m prwj jmj-r prwj-HD jmj-r jswj Xkr nswt jmj-r st nbt nt Xnw jmj-r prw msw nswt jmj-r Xkr nswt jmj-r Hwt-wrt sjsw jmj-r sDmt nbt jrj-pat HAtj-a tAjtj sAb TAtj jmj-r kAt nbt nt nswt jmj-r sSw a nswt Hrj-sStA wDt-mdw nbt nt nswt Hrj-Xb smr watj] controller of all scribes, royal chamberlain, overseer of the two granaries, overseer of the armory, royal architect in the two houses, overseer of the two treasuries, overseer of the two chambers of royal regalia, overseer of every department of the Residence, overseer of the houses of the royal children, overseer of royal regalia, overseer of the six great law-courts, overseer of all that is judged, hereditary prince, count, chief justice and vizier, overseer of all royal works, overseer of royal document scribes, secretary of every royal decree, lector-priest, sole companion; in situ in G 2370. Limestone sarcophagus inscribed for Senedjemib Inti, identified as [HAtj-a mAa jntj tAjtj sAb TAtj snDmjb Xrj-tp nswt jntj] true count Inti, chief justice and vizier Senedjemib, royal chamberlain Inti; in situ in burial chamber of G 2370 B.   Possibly same individual as owner of Lepsius 10 (in Khafre Quarry). Similar titles found on entrance lintel of Lepsius 10, inscribed for Senedjemib Inti.   Probably same individual whose name appears on fragmentary limestone architrave (35-9-17 = MFA 35.2033) inscribed for Tjetu; found displaced in G 2338 B (possibly originally from G 2343 = G 5511).",Senedjemib Inti,https://nrs.harvard.edu,urn-3:FHCL:37705145?width=170&height=170,459587163
7,1866,3,Individual - Ancient,Senedjemib Mehi (G 2378),NULL,"Owner of G 2378. Senedjemib, [rn=f nfr] his good name Mehi. Son of Senedjemib Inti (owner of G 2370). Portico architrave inscribed for Senedjemib Mehi, identified as [jrj-pat HAtj-a mAa jmj-r kAt nbt nt nswt Hrj-sStA n wDt-mdw nbt nt nswt jmj-jb n nswt m st=f nbt jmAxw xr nswt-bjtj Wnjs] hereditary prince, true count, overseer of all royal works, secretary of every royal decree, he who is in the heart of the king in all his places, revered before the King of Upper and Lower Egypt Unis; offering room false door inscribed for Senedjemib Mehi, identified as [smr watj tAjtj sAb TAtj jmj-r sSw a nswt jmj-r Xkr nswt nb Xrj-tp nswt mDH qd nswt m prwj jmj-r Snwtj jmj-r prwj-aHAw jmj-r wabtj jmj-r prwj nbw jmj-r sSr nswt jmAxw xr Jssj] sole companion, chief justice and vizier, overseer of royal document scribes, overseer of all royal regalia, royal chamberlain, royal architect in the two houses, overseer of the two granaries, overseer of the two armories, overseer of the two wabets, overseer of the two houses of gold, overseer of royal linen, revered before Isesi; also appears in chapel relief (thoughout chapel), identified as [jwn-knmt] iun-kenmut priest; false door and relief in situ in G 2378, portico reconstructed.  Also appears in chapel relief (including portico west wall, door jambs, and offering room) in tomb of his father Senedjemib Inti (owner of G 2370), identified as [HAtj-a mAa jmj-r kAt nbt nt nswt] true count, overseer of all royal works; in situ in G 2370.",Senedjemib Mehi,https://nrs.harvard.edu,urn-3:FHCL:37705155?width=170&height=170,459587178
7,1999,3,Individual - Ancient,Irenakhet Iri (G 2391),NULL,"Owner of G 2391. Irenakhet, [rn=f nfr] his good name Iri. False door inscribed for Irenakhet Iri, identified as [Hm-kA] ka-priest; central false door in situ in G 2391. Offering stone inscribed for Irenakhet, identified as [Hm-kA jmj-r st xntjw-S pr-aA] ka-priest, overseer of the department of palace attendants of the Great House; found in situ in front of false door of Irenakhet. Fitting blocks of limestone lintel (12-12-165 = MFA 13.4333) inscribed for Irenakhet, identified as [jmj-r st xntjw-S pr-aA jmj-r pr] overseer of the department of palace attendants of the Great House, steward; found displaced in front of G 2391. Appears on panel of relief south of false door of his wife Kaesites, identified as [jmj-r st xntjw-S pr-aA] overseer of the department of palace attendants of the Great House; north false door in situ in G 2391.",Irenakhet Iri,https://nrs.harvard.edu,urn-3:FHCL:37704897?width=170&height=170,459586791
7,2008,3,Individual - Ancient,Kaesites (in G 2391),NULL,"Wife ([Hmt=f] his wife) of Irenakhet Iri (owner of G 2391). False door inscribed for Kaesites; north false door in situ in G 2391. Block of limestone lintel (12-12-166 = MFA 13.4337) inscribed for Kaesites (two standing figures of Kaesites, second figure from left and last figure on right), identified as [rxt nswt (Hm-nTr) HwtHr nbt nht] royal acquaintance, (priestess of) Hathor Mistress-of-the-Sycamore; also appears on fitting blocks of limestone lintel (12-12-165 = MFA 13.4333) inscribed for her husband Irenakhet Iri (left end of block, standing behind her husband); both found displaced in front of G 2391.",Kaesites,https://nrs.harvard.edu,urn-3:FHCL:37864081?width=170&height=170,460121236
7,2133,1,Individual - Modern,Louis Caulton West,"American, 1882–1972","Worked on the MFA-Harvard expedition from 1912-1914 according to the preface of George A. Reisner's, ""A History of the Giza Necropolis, Vol I."" Harvard graduate, c.1912.","West, Louis Caulton, Mr.",NULL,NULL,NULL
7,2394,3,Individual - Ancient,Khnumenti (in G 2391),NULL,"Son ([sA=f] his son) of Irenakhet Iri (owner of G 2391). Appears on fitting blocks of limestone lintel (12-12-165 = MFA 13.4333) inscribed for his father Irenakhet Iri (last figure on right in row of siblings facing Irenakhet Iri and Kaesites), identified as [Hm-kA] ka-priest; found displaced in front of G 2391.  Probably same individual identified as Khnumenti on false door inscribed for his father Irenakhet Iri; central false door in situ in G 2391.",Khnumenti,https://nrs.harvard.edu,urn-3:FHCL:37704897?width=170&height=170,459586791
7,2400,3,Individual - Ancient,Sheshit (in G 2391),NULL,Daughter ([sAt=f] his daughter) of Irenakhet Iri (owner of G 2391). Appears on fitting blocks of limestone lintel (12-12-165 = MFA 13.4333) inscribed for her father Irenakhet Iri (fifth figure from left [third figure from left in row of siblings facing Irenakhet Iri and Kaesites]); found displaced in front of G 2391.,Sheshit,https://nrs.harvard.edu,urn-3:FHCL:37704897?width=170&height=170,459586791
7,2446,3,Individual - Ancient,Werkauba Iku (G 2383),NULL,"Owner of G 2383 (chapel only), possibly buried in either G 2376 or G 2377. Werkauba, [rn=f nfr] his good name Iku. False door inscribed for Werkauba Iku, identified as [tAjtj sAb TAtj jmj-r Hwt wrt smr watj sS nswt] chief justice and vizier, overseer of the great court, sole companion, royal scribe; found in situ in G 2383. Possibly same individual as Khnumwerkau Iku (in Menkaure Valley Temple).",Werkauba Iku,https://nrs.harvard.edu,urn-3:FHCL:37791929?width=170&height=170,459779353
7,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
7,2813,3,Individual - Ancient,Senedjemib Inti (G 2364),NULL,"Probable owner of G 2364. Senedjemib, [rn=f nfr] his good name Inti. Limestone stela inscribed for Senedjemib Inti and his wife Kedetnes; Senedjemib Inti identified as [sS a nswt xft-Hr sS n sA n Hmw-kA] royal document scribe in the presence, scribe of the phyle of ka-priests; in situ in G 2364.  Possibly same individual as Senedjemib Inti (in S 696/703). Similar titles found on limestone false door (KHM Vienna ÄS 8527) found displaced in mastaba S 696/703, shaft S 703, inscribed for Senedjemib Inti.",Senedjemib Inti,https://nrs.harvard.edu,urn-3:FHCL:37791897?width=170&height=170,459779305
8,1104,1,Individual - Modern,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
8,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
8,3125,2,Group - Modern,Hearst Corporation,NULL,NULL,Hearst Corporation,NULL,NULL,NULL
12,47,3,Individual - Ancient,Gefi (in G 7101),NULL,"Wife ([Hmt=f mrt=f] his beloved wife) of Qar (owner of G 7101). Appears in chapel relief, court C (west wall); in situ in G 7101.",Gefi,https://nrs.harvard.edu,urn-3:FHCL:37742358?width=170&height=170,459676746
12,92,3,Individual - Ancient,Idu (G 7102),NULL,"Owner of G 7102. Appears multiple times in tomb decoration (chapel relief, architrave, door jambs, statuary), identified variously as [jmj-r Hwt wrt jmj-r sSw mrt xntj-S mnnfr-ppj Xrj tp nswt] overseer of the great chapel, overseer of scribes of the meret-serfs, palace attendant of (the pyramid-town) Mennefer-Pepi, he who is at the head of the king; in situ in G 7102.  Possibly same individual as Idu (in G 7101), son of Qar (owner of G 7101).  The relationship between Qar and Idu is difficult to determine; it seems certain that they are father and son, but it is not clear which is which since they each have a son named after the other (i.e. Qar has a son named Idu, Idu has a son named Qar). Qar (G 7101) has a sister named Bendjyt who may be identical to Bendjet, a daughter of Idu (G 7102), in which case Idu would be the father of Qar, but this is not at all certain.",Idu,NULL,NULL,NULL
12,353,3,Individual - Ancient,Qar (G 7101),NULL,"Owner of G 7101. Appears multiple times in tomb decoration (chapel relief, architrave, door jambs, pillar), identified variously as [jmj-r kAt nbt xntj-S mnnfr-mrjjra Xrj tp nswt sS a nswt xft-Hr mAa] overseer of all works, palace attendant of (the pyramid-town) Mennefer-Meryre (Pepi I), he who is at the head of the king, true royal document scribe in the presence; in situ in G 7102.  Possibly same individual as Qar (in G 7102), son of Idu (owner of G 7102).   The relationship between Qar and Idu is difficult to determine; it seems certain that they are father and son, but it is not clear which is which since they each have a son named after the other (i.e. Qar has a son named Idu, Idu has a son named Qar). Qar (G 7101) has a sister named Bendjyt who may be identical to Bendjet, a daughter of Idu (G 7102), in which case Idu would be the father of Qar, but this is not at all certain.",Qar,NULL,NULL,NULL
12,1104,1,Individual - Modern,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
12,2262,3,Individual - Ancient,Qar (in G 7102),NULL,"Son ([sA=f mrjj=f] his beloved son) of Idu (owner of G 7102). Appears on east door jamb of offering room entrance, identifed as [sAb sS] juridicial scribe (name and identical titles appear also on east wall of offering room above first statue niche). Also appears chapel relief, south wall (top register, in mock combat with his brother Hemi), and west wall (south end, second register, at head of line of offering bearers, censing before his father); in situ in G 7102.   Incised jamb blocks (25-1-118 + 25-1-121 + 25-1-122 + 25-1-123 + 25-1-124 = MFA 25.1518) inscribed with different titles and name of Qar may belong to different individual; found in shaft 7102 E (originally from western chamber off middle level court).   Possibly same individual as Qar (owner of G 7101).",Qar,NULL,NULL,NULL
12,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
18,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
26,230,3,Individual - Ancient,Menkaure,NULL,Fifth king of Dynasty 4. Son of Khafre. Husband of Khamerernebti II. Builder of the Third Pyramid at Giza. Known two thousand years later by the Greeks as King Mycerinus.,Menkaure,https://nrs.harvard.edu,urn-3:FHCL:40666440?width=170&height=170,471613417
26,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
29,1425,1,Individual - Modern,Joseph Lindon Smith,"American, 1863–1950",Artist /expedition painter and copyist; Daughters Rachael and Frances also painted.  Nationality and life dates from Who was Who in Egyptology.,"Smith, Joseph Lindon",https://nrs.harvard.edu,urn-3:FHCL:37831773?width=170&height=170,459995547
29,1523,1,Individual - Modern,Dows Dunham,"American, 1890–1984","Egyptologist; Curator; Assistant Curator, Egyptian Department, Museum of Fine Arts, Boston.  Nationality and life dates from Who was Who in Egyptology.","Dunham, Dows",https://nrs.harvard.edu,urn-3:FHCL:38557695?width=170&height=170,462437841
29,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
35,24,3,Individual - Ancient,Ankh-haf (G 7510),NULL,"Owner of G 7510. Husband of Hetepheres. ",Ankh-haf,NULL,NULL,NULL
35,230,3,Individual - Ancient,Menkaure,NULL,Fifth king of Dynasty 4. Son of Khafre. Husband of Khamerernebti II. Builder of the Third Pyramid at Giza. Known two thousand years later by the Greeks as King Mycerinus.,Menkaure,https://nrs.harvard.edu,urn-3:FHCL:40666440?width=170&height=170,471613417
35,1186,3,Individual - Ancient,Hemiunu (G 4000),NULL,"Owner of G 4000. Probable son of Nefermaat (owner of tomb at Meidum), probable grandson of Snefru. Architectural elements, including chapel entrance lintel (Hildesheim 2380) and door jamb (Hildesheim 2146), inscribed for Hemiunu, identified as [jrj-pat HAtj-a xtmw-bjtj] hereditary prince, count, sealer of the king of Lower Egypt; door jamb found in situ in G 4000. Seated statue (Hildesheim 1962) inscribed for Hemiunu, identified as [sA nswt n XT=f tAjtj sAb TAtj wr djw pr-DHwtj] king's son of his body, chief justice and vizier, greatest of the five of the House of Thoth; found in situ in G 4000 serdab behind north niche.",Hemiunu,https://nrs.harvard.edu,urn-3:FHCL:40708942?width=170&height=170,471819637
